timestamp,sentiment_label,bullish_trend,bearish_trend,signal
2025-02-13 14:13:52,bullish,1.0,0.0,BUY
2025-02-14 00:00:44,bullish,1.0,0.0,BUY
2025-02-13 21:45:04,bullish,1.0,0.0,BUY
2025-02-13 13:58:35,bullish,1.0,0.0,BUY
2025-02-14 03:00:15,bearish,0.8,0.2,BUY
2025-02-13 14:51:04,bullish,0.8333333333333334,0.16666666666666666,BUY
2025-02-14 01:53:45,bullish,0.8571428571428571,0.14285714285714285,BUY
2025-02-13 15:45:02,bullish,0.875,0.125,BUY
2025-02-13 21:44:30,bearish,0.7777777777777778,0.2222222222222222,BUY
2025-02-13 06:29:25,bullish,0.8,0.2,BUY
2025-02-13 08:49:20,bullish,0.8,0.2,BUY
2025-02-13 22:00:02,bearish,0.7,0.3,BUY
2025-02-13 21:32:01,bullish,0.7,0.3,BUY
2025-02-14 07:37:09,bullish,0.7,0.3,BUY
2025-02-14 06:25:42,bullish,0.8,0.2,BUY
2025-02-14 04:03:36,bullish,0.8,0.2,BUY
2025-02-14 08:48:28,bullish,0.8,0.2,BUY
2025-02-13 02:10:03,bullish,0.8,0.2,BUY
2025-02-12 15:55:11,bullish,0.9,0.1,BUY
2025-02-14 08:51:21,bullish,0.9,0.1,BUY
2025-02-14 08:48:58,bullish,0.9,0.1,BUY
2025-02-13 13:59:11,bearish,0.9,0.1,BUY
2025-02-14 08:36:18,bullish,0.9,0.1,BUY
2025-02-14 01:32:44,bearish,0.8,0.2,BUY
2025-02-13 19:54:33,bullish,0.8,0.2,BUY
2025-02-13 19:08:56,bearish,0.7,0.3,BUY
2025-02-13 14:11:55,bullish,0.7,0.3,BUY
2025-02-13 13:56:50,bullish,0.7,0.3,BUY
2025-02-13 13:03:22,bullish,0.7,0.3,BUY
2025-02-14 08:12:09,bullish,0.7,0.3,BUY
2025-02-13 20:30:23,bearish,0.6,0.4,HOLD
2025-02-13 19:31:21,bullish,0.7,0.3,BUY
2025-02-14 06:14:13,bullish,0.7,0.3,BUY
2025-02-13 06:03:18,bullish,0.8,0.2,BUY
2025-02-13 11:18:46,bullish,0.8,0.2,BUY
2025-02-13 05:46:01,bearish,0.8,0.2,BUY
2025-02-12 11:57:38,bearish,0.7,0.3,BUY
2025-02-12 21:28:52,bullish,0.7,0.3,BUY
2025-02-13 16:14:28,bullish,0.7,0.3,BUY
2025-02-13 15:53:23,bullish,0.7,0.3,BUY
2025-02-14 06:22:25,bearish,0.7,0.3,BUY
2025-02-13 22:28:57,bullish,0.7,0.3,BUY
2025-02-14 01:10:16,bearish,0.6,0.4,HOLD
2025-02-12 16:54:37,bearish,0.5,0.5,HOLD
2025-02-12 08:34:30,bullish,0.5,0.5,HOLD
2025-02-12 21:11:08,bearish,0.5,0.5,HOLD
2025-02-12 21:15:05,bullish,0.6,0.4,HOLD
2025-02-12 15:10:13,bearish,0.5,0.5,HOLD
2025-02-13 15:48:45,bearish,0.4,0.6,HOLD
2025-02-12 22:11:13,bearish,0.3,0.7,SELL
2025-02-14 00:53:40,bearish,0.3,0.7,SELL
2025-02-13 17:48:38,bearish,0.2,0.8,SELL
2025-02-13 00:48:02,bullish,0.3,0.7,SELL
2025-02-13 23:24:11,bullish,0.4,0.6,HOLD
2025-02-13 17:00:14,bullish,0.4,0.6,HOLD
2025-02-13 00:00:56,bullish,0.5,0.5,HOLD
2025-02-12 06:01:05,bullish,0.5,0.5,HOLD
2025-02-12 21:12:37,bearish,0.5,0.5,HOLD
2025-02-12 21:30:34,bullish,0.6,0.4,HOLD
2025-02-12 12:44:03,bullish,0.7,0.3,BUY
2025-02-12 15:17:58,bullish,0.8,0.2,BUY
2025-02-13 13:04:53,bullish,0.9,0.1,BUY
2025-02-12 18:38:46,bullish,0.9,0.1,BUY
2025-02-13 15:49:27,bullish,0.9,0.1,BUY
2025-02-13 03:11:56,bullish,0.9,0.1,BUY
2025-02-13 22:00:06,bullish,0.9,0.1,BUY
2025-02-12 06:57:22,bullish,0.9,0.1,BUY
2025-02-13 01:00:33,bullish,1.0,0.0,BUY
2025-02-13 13:53:39,bullish,1.0,0.0,BUY
2025-02-12 16:05:39,bullish,1.0,0.0,BUY
2025-02-11 12:43:04,bearish,0.9,0.1,BUY
2025-02-12 04:08:31,bearish,0.8,0.2,BUY
2025-02-12 22:52:04,bearish,0.7,0.3,BUY
2025-02-12 08:43:11,bullish,0.7,0.3,BUY
2025-02-13 23:32:23,bullish,0.7,0.3,BUY
2025-02-12 03:59:23,bearish,0.6,0.4,HOLD
2025-02-12 08:06:44,bullish,0.6,0.4,HOLD
2025-02-13 15:13:27,bearish,0.5,0.5,HOLD
2025-02-13 10:10:59,bullish,0.5,0.5,HOLD
2025-02-12 17:53:56,bearish,0.4,0.6,HOLD
2025-02-12 16:46:07,bullish,0.5,0.5,HOLD
2025-02-12 13:58:33,bullish,0.6,0.4,HOLD
2025-02-13 01:53:08,bullish,0.7,0.3,BUY
2025-02-13 13:56:53,bullish,0.7,0.3,BUY
2025-02-11 16:18:16,bearish,0.6,0.4,HOLD
2025-02-13 07:43:17,bullish,0.7,0.3,BUY
2025-02-13 15:53:23,bullish,0.7,0.3,BUY
2025-02-13 12:11:14,bullish,0.8,0.2,BUY
2025-02-11 21:38:26,bearish,0.7,0.3,BUY
2025-02-11 00:04:55,bearish,0.7,0.3,BUY
2025-02-12 03:46:07,bullish,0.7,0.3,BUY
2025-02-11 17:33:14,bullish,0.7,0.3,BUY
2025-02-12 12:15:25,bullish,0.7,0.3,BUY
2025-02-11 20:27:14,bearish,0.6,0.4,HOLD
2025-02-12 21:28:50,bullish,0.7,0.3,BUY
2025-02-13 01:04:57,bullish,0.7,0.3,BUY
2025-02-11 09:14:43,bearish,0.6,0.4,HOLD
2025-02-11 11:50:55,bullish,0.6,0.4,HOLD
2025-02-12 01:44:43,bearish,0.6,0.4,HOLD
2025-02-11 13:34:39,bullish,0.7,0.3,BUY
2025-02-11 20:56:30,bullish,0.7,0.3,BUY
2025-02-12 18:41:17,bullish,0.7,0.3,BUY
2025-02-12 00:00:55,bullish,0.7,0.3,BUY
2025-02-13 02:23:25,bullish,0.8,0.2,BUY
2025-02-11 12:23:47,bullish,0.8,0.2,BUY
2025-02-12 16:08:34,bearish,0.7,0.3,BUY
2025-02-12 08:36:39,bullish,0.8,0.2,BUY
2025-02-11 18:39:59,bullish,0.8,0.2,BUY
2025-02-11 20:50:09,bullish,0.9,0.1,BUY
2025-02-12 13:59:52,bullish,0.9,0.1,BUY
2025-02-11 22:11:42,bearish,0.8,0.2,BUY
2025-02-12 21:22:56,bearish,0.7,0.3,BUY
2025-02-11 15:01:08,bullish,0.7,0.3,BUY
2025-02-12 05:31:06,bullish,0.7,0.3,BUY
2025-02-12 10:59:31,bullish,0.7,0.3,BUY
2025-02-10 13:34:33,bullish,0.8,0.2,BUY
2025-02-10 21:29:37,bullish,0.8,0.2,BUY
2025-02-13 01:16:46,bullish,0.8,0.2,BUY
2025-02-12 19:53:15,bullish,0.8,0.2,BUY
2025-02-11 00:37:40,bearish,0.7,0.3,BUY
2025-02-11 13:26:38,bearish,0.7,0.3,BUY
2025-02-10 19:37:50,bearish,0.7,0.3,BUY
2025-02-10 21:50:19,bearish,0.6,0.4,HOLD
2025-02-11 10:49:41,bullish,0.6,0.4,HOLD
2025-02-11 21:49:35,bearish,0.5,0.5,HOLD
2025-02-12 07:55:24,bullish,0.5,0.5,HOLD
2025-02-12 07:22:09,bullish,0.5,0.5,HOLD
2025-02-12 07:13:10,bullish,0.5,0.5,HOLD
2025-02-11 08:05:47,bearish,0.4,0.6,HOLD
2025-02-11 14:33:28,bullish,0.5,0.5,HOLD
2025-02-10 23:39:33,bullish,0.6,0.4,HOLD
2025-02-11 14:01:24,bullish,0.7,0.3,BUY
2025-02-12 13:37:40,bearish,0.7,0.3,BUY
2025-02-12 08:22:49,bullish,0.7,0.3,BUY
2025-02-12 13:07:31,bullish,0.8,0.2,BUY
2025-02-12 16:04:15,bullish,0.8,0.2,BUY
2025-02-12 06:18:45,bullish,0.8,0.2,BUY
2025-02-10 15:16:14,bullish,0.8,0.2,BUY
2025-02-12 12:25:49,bearish,0.8,0.2,BUY
2025-02-11 21:47:38,bullish,0.8,0.2,BUY
2025-02-10 19:23:49,bearish,0.7,0.3,BUY
2025-02-11 17:00:31,bearish,0.6,0.4,HOLD
2025-02-11 16:34:20,bullish,0.7,0.3,BUY
2025-02-10 15:39:44,bullish,0.7,0.3,BUY
2025-02-10 19:03:44,bullish,0.7,0.3,BUY
2025-02-10 15:18:59,bullish,0.7,0.3,BUY
2025-02-11 20:22:41,bullish,0.7,0.3,BUY
2025-02-11 09:45:34,bullish,0.7,0.3,BUY
2025-02-09 22:55:44,bullish,0.8,0.2,BUY
2025-02-11 00:00:48,bullish,0.8,0.2,BUY
2025-02-10 01:47:09,bearish,0.8,0.2,BUY
2025-02-10 11:46:28,bullish,0.9,0.1,BUY
2025-02-10 17:21:15,bearish,0.8,0.2,BUY
2025-02-12 01:28:46,bearish,0.7,0.3,BUY
2025-02-12 01:04:19,bullish,0.7,0.3,BUY
2025-02-12 01:06:36,bullish,0.7,0.3,BUY
2025-02-10 13:18:56,bullish,0.7,0.3,BUY
2025-02-10 20:59:49,bullish,0.7,0.3,BUY
2025-02-10 05:33:15,bullish,0.7,0.3,BUY
2025-02-10 18:13:05,bearish,0.6,0.4,HOLD
2025-02-11 18:22:35,bullish,0.7,0.3,BUY
2025-02-10 21:41:36,bearish,0.6,0.4,HOLD
2025-02-11 11:59:24,bearish,0.6,0.4,HOLD
2025-02-11 02:05:31,bearish,0.6,0.4,HOLD
2025-02-10 19:07:35,bearish,0.5,0.5,HOLD
2025-02-10 10:03:42,bearish,0.4,0.6,HOLD
2025-02-11 14:42:46,bullish,0.4,0.6,HOLD
2025-02-10 19:19:50,bullish,0.4,0.6,HOLD
2025-02-11 21:05:41,bullish,0.4,0.6,HOLD
2025-02-11 15:30:48,bullish,0.5,0.5,HOLD
2025-02-11 09:04:40,bullish,0.5,0.5,HOLD
2025-02-11 08:35:28,bearish,0.5,0.5,HOLD
2025-02-11 07:48:22,bearish,0.5,0.5,HOLD
2025-02-11 07:08:49,bullish,0.6,0.4,HOLD
2025-02-10 22:04:21,bullish,0.7,0.3,BUY
2025-02-11 17:15:40,bullish,0.8,0.2,BUY
2025-02-11 01:31:22,bullish,0.8,0.2,BUY
2025-02-11 00:45:26,bullish,0.8,0.2,BUY
2025-02-11 15:01:17,bullish,0.8,0.2,BUY
2025-02-09 16:11:22,bullish,0.8,0.2,BUY
2025-02-11 12:39:03,bullish,0.8,0.2,BUY
2025-02-09 18:37:45,bearish,0.8,0.2,BUY
2025-02-11 13:04:15,bearish,0.8,0.2,BUY
2025-02-11 11:26:47,bearish,0.7,0.3,BUY
2025-02-09 19:46:54,bullish,0.7,0.3,BUY
2025-02-09 16:20:57,bullish,0.7,0.3,BUY
2025-02-09 20:25:29,bullish,0.7,0.3,BUY
2025-02-10 20:09:24,bullish,0.7,0.3,BUY
2025-02-10 16:09:18,bearish,0.6,0.4,HOLD
2025-02-11 07:50:19,bullish,0.6,0.4,HOLD
2025-02-10 08:46:08,bearish,0.5,0.5,HOLD
2025-02-10 01:12:05,bullish,0.6,0.4,HOLD
2025-02-09 14:59:04,bullish,0.7,0.3,BUY
2025-02-10 18:21:26,bullish,0.8,0.2,BUY
2025-02-10 13:03:54,bullish,0.8,0.2,BUY
2025-02-11 02:57:36,bullish,0.8,0.2,BUY
2025-02-09 21:23:42,bullish,0.8,0.2,BUY
2025-02-09 16:24:52,bullish,0.8,0.2,BUY
2025-02-10 06:56:27,bullish,0.9,0.1,BUY
2025-02-09 06:43:49,bullish,0.9,0.1,BUY
2025-02-11 04:27:13,bearish,0.9,0.1,BUY
2025-02-10 00:01:15,bullish,0.9,0.1,BUY
2025-02-11 10:38:14,bullish,0.9,0.1,BUY
2025-02-09 16:52:31,bullish,0.9,0.1,BUY
2025-02-09 16:22:27,bullish,0.9,0.1,BUY
2025-02-09 17:56:12,bearish,0.8,0.2,BUY
2025-02-10 14:51:03,bearish,0.7,0.3,BUY
2025-02-11 06:11:31,bearish,0.6,0.4,HOLD
2025-02-09 20:15:18,bullish,0.6,0.4,HOLD
2025-02-09 13:18:40,bearish,0.5,0.5,HOLD
2025-02-10 14:07:36,bearish,0.5,0.5,HOLD
2025-02-09 16:21:25,bullish,0.5,0.5,HOLD
2025-02-10 17:14:32,bearish,0.4,0.6,HOLD
2025-02-10 21:52:22,bearish,0.3,0.7,SELL
2025-02-09 16:49:37,bullish,0.3,0.7,SELL
2025-02-09 20:29:06,bullish,0.4,0.6,HOLD
